SimNumber	i	j	k	Crit_AFInit	Crit_HWRatio
1	2.	2	1	0.0602443	1.92644
2	2.	2	1	0.0508673	1.8269
3	2.	3	1	0.129061	1.2676
4	2.	3	1	0.09732	1.44872
5	2.	4	1	0.112501	1.94609
6	2.	4	1	0.219788	1.10796
7	3.	2	1	0.0101302	1.75139
8	3.	2	1	0.00645419	1.71537
9	3.	3	1	0.0288796	1.59817
10	3.	3	1	0.0143029	1.9347
11	3.	4	1	0.0735819	1.87744
12	3.	4	1	0.0619269	1.74526
13	5.	2	1	0.00165586	1.98868
14	5.	2	1	0.000847736	1.90998
15	5.	3	1	0.00648533	1.47163
16	5.	3	1	0.0112497	1.46354
17	5.	4	1	0.0263001	1.18841
18	5.	4	1	0.0147431	2.08198
21	2.	2	1	0.0534041	1.72394
22	2.	2	1	0.0471818	1.75755
23	2.	3	1	0.103616	1.58175
24	2.	3	1	0.0999669	1.29854
25	2.	4	1	0.210715	1.08788
26	2.	4	1	0.141055	1.62196
27	3.	2	1	0.00343397	2.0846
28	3.	2	1	0.00703572	1.73153
29	3.	3	1	0.0382264	1.42207
30	3.	3	1	0.0450688	1.16844
31	3.	4	1	0.111447	1.0117
32	3.	4	1	0.0445577	1.9395
33	5.	2	1	0.000152723	1.79875
34	5.	2	1	0.000848817	1.78403
35	5.	3	1	0.00286804	1.87958
36	5.	3	1	0.0113761	1.24663
37	5.	4	1	0.00398923	2.89023
38	5.	4	1	0.0043854	2.61184
